Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1687496,"5,489.02",,130616-190616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1687496,"3,171.71",,200616-260616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1687496,"1,140.32",,270616-030716,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Wessex Area,Clarity Travel Management,1687496,544.00,,130616-190616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Wessex Area,Clarity Travel Management,1687496,"1,202.88",,200616-260616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Wessex Area,Clarity Travel Management,1687496,"1,280.17",,270616-030716,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,West Midlands Area,Clarity Travel Management,1687496,"5,433.95",,130616-190616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,West Midlands Area,Clarity Travel Management,1687496,"1,752.79",,200616-260616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,West Midlands Area,Clarity Travel Management,1687496,333.73,,270616-030716,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1687496,"1,253.09",,130616-190616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1687496,"2,224.95",,200616-260616,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Ordinary Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1687496,"3,012.33",,270616-030716,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,22/07/2016,Logica Quarterly Service and Unitary Charges,Corporate,CGI IT UK Ltd,5049407,"2,861,192.11",,Quarterly service charge 010716 - 300916,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Crown Court Graduated Fee Scheme,East Midlands Area,Van Der Zwart Mark ,1688350,"40,362.18",Y,3763761165,NG1 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Crown Court Graduated Fee Scheme,North East Area,Greaney P ,1688385,"50,027.46",Y,2018760811,LS1 2SJ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Crown Court Graduated Fee Scheme,East Midlands Area,Watson Mark ,1688361,"29,572.69",Y,3763761109,NG1 5BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Corporate,Clarity Travel Management,1688398,286.20,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Cymru/Wales Area,Clarity Travel Management,1688398,631.95,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,East Midlands Area,Clarity Travel Management,1688398,914.80,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,East of England Area,Clarity Travel Management,1688398,"2,232.41",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,London,Clarity Travel Management,1688398,"6,563.00",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Merseyside and Cheshire Area,Clarity Travel Management,1688398,706.75,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,North East Area,Clarity Travel Management,1688398,"1,516.96",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,North West Area,Clarity Travel Management,1688398,"2,584.93",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Organised Crime Division,Clarity Travel Management,1688398,110.00,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,South East Area,Clarity Travel Management,1688398,"1,555.21",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,South West Area,Clarity Travel Management,1688398,437.57,,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Special Crime Division,Clarity Travel Management,1688398,"2,686.09",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1688398,"1,806.55",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Wessex Area,Clarity Travel Management,1688398,"1,784.07",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,West Midlands Area,Clarity Travel Management,1688398,"1,198.62",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,25/07/2016,Ordinary Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1688398,"1,907.54",,11/07/16 to 17/07/16,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2016,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Unsworth Ian ,1689060,"64,509.84",Y,2418760740,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2016,Crown Court Graduated Fee Scheme,Merseyside and Cheshire Area,Mclachlan David ,1688865,"36,652.99",Y,2418760755,L2 9YH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2016,Crown Court Graduated Fee Scheme,North East Area,Smithies Deborah ,1688821,"25,764.72",Y,2003761319,LS11 5DL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/07/2016,Computer Services,Corporate,Vodafone Ltd formerly Cable and Wireless Milton Keynes,5049441,"47,308.70",,Rebtal Charges 010416- 300616,MK3 5JP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2016,Crown Court Very High Cost Cases,West Midlands Area,Wheeler Andrew ,1689784,"39,998.81",Y,3215761759,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2016,Crown Court Graduated Fee Scheme,North East Area,Egerton Christine ,1689537,"37,185.78",Y,2003761380,LS11 5DL,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2016,Crown Court Graduated Fee Scheme,West Midlands Area,Bradley Philip James ,1689916,"34,262.52",Y,3215761010,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/07/2016,Crown Court Graduated Fee Scheme,Special Crime Division,Atkinson Duncan ,1689342,"44,924.18",Y,7104763000,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Crown Court Graduated Fee Scheme,London,Heywood Mark QC London ,1690188,"68,623.72",Y,6250760385,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Crown Court Graduated Fee Scheme,Special Crime Division,Hill Max ,1690106,"35,172.24",Y,7104764911,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Crown Court Graduated Fee Scheme,Specialist Fraud Division,Giddens Sarah ,1690205,"30,279.16",Y,7502764985,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Crown Court Graduated Fee Scheme,London,Polnay Jonathan ,1690195,"35,958.12",Y,6250760411,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Night Subsistence,Organised Crime Division,Clarity Travel Management,5049486,"19,531.99",,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Night Subsistence,Special Crime Division,Clarity Travel Management,5049486,"1,422.90",,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Night Subsistence,Specialist Fraud Division,Clarity Travel Management,5049486,328.99,,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Overseas Accommodation & Allowances,Organised Crime Division,Clarity Travel Management,5049486,765.05,,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Overseas Travel,Organised Crime Division,Clarity Travel Management,5049486,"8,710.64",,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Overseas Travel,Specialist Fraud Division,Clarity Travel Management,5049486,227.90,,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Travel (other than Business Rate Mileage),Organised Crime Division,Clarity Travel Management,5049486,494.75,,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Travel (other than Business Rate Mileage),Special Crime Division,Clarity Travel Management,5049486,"4,220.75",,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Travel (other than Business Rate Mileage),Specialist Fraud Division,Clarity Travel Management,5049486,"2,528.10",,020516-080516,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5049491,"177,720.19",,CCR10082 - CMS to C2I data,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5049491,"49,316.40",,CCR10202 - CMS - Court Store Interface (Phase 2) 25/07/16,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/07/2016,Logica contract,Corporate,CGI IT UK Ltd,5049491,"26,269.83",,CCR10129 CGI Support for Xerox Access to Servers in CGI Data Centres 30/05/16 - 24/06/16,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/07/2016,Crown Court Graduated Fee Scheme,South West Area,Vaitilingham Adam ,1690998,"65,696.76",Y,5210765117,BS1 1DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/07/2016,Crown Court Graduated Fee Scheme,Special Crime Division,Christopher Julian Mark Carmichael ,1690644,"40,669.36",Y,7104765291,EC4Y 7HB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/07/2016,Crown Court Graduated Fee Scheme,Specialist Fraud Division,Mcloughlin Ian ,1690938,"33,592.74",Y,7510763073,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/07/2016,Crown Court Graduated Fee Scheme,North West Area,Greenhalgh Jane ,1690896,"32,388.78",Y,2525765598,WC2R 3AA,Not available,Not available,Not available,Programme
