Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,22/06/2017,Logica contract,Corporate,CGI IT UK Ltd,5056119,"45,803.52",,CCR10397- Support Office Projecgt 240417-270517,RG2 6UA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,22/06/2017,Logica contract,Corporate,CGI IT UK Ltd,5056119,"84,924.81",,CCR10431- CMS to C2I Data Exchange 010517-310517,RG2 6UA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Crown Court Graduated Fee Scheme,London South,Shay Stephen ,1807649,"26,640.49",Y,6501921431,WC2R 3AA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Crown Court Very High Cost Cases,Special Crime Division,Heywood Mark QC London ,1808093,"34,741.70",Y,7100930605,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Hannam Timothy James ,1807809,"25,135.20",Y,7503928923,B4 6QD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Night Subsistence,International Justice & Organised Crime Division - International,Clarity Travel Management,5056173,"30,856.80",,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Night Subsistence,Special Crime Division,Clarity Travel Management,5056173,122.00,,Travel,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Overseas Accommodation & Allowances,International Justice & Organised Crime Division - International,Clarity Travel Management,5056173,"2,689.91",,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Overseas Travel,International Justice & Organised Crime Division - International,Clarity Travel Management,5056173,334.40,,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,23/06/2017,Travel (other than Business Rate Mileage),Specialist Fraud Division,Clarity Travel Management,5056173,59.50,,Travel,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Bewsey Jane ,1808263,"26,351.00",Y,7503931725,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Hannam Timothy James ,1808535,"25,936.40",Y,7503931723,B4 6QD,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Conference Organisation,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,"15,360.00",,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Contractor/Service (Contract Management) - Global Crossing,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,357.04,,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,LCJB & Other Staff Secondment Salaries - Admin,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,"1,001.85",,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Other Staff Costs,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,85.91,,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Overseas Accommodation & Allowances,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,"65,817.77",,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Overseas Subsistence,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,325.01,,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Overseas Travel,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,"1,188.36",,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,26/06/2017,Professional Charges,International Justice & Organised Crime Division - International,Foreign And Commonwealth Office,5056204,15.51,,Recharges OGD,MK10 1PX,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,27/06/2017,Crown Court Graduated Fee Scheme,Specialist Fraud Division,Gateshill J ,1808867,"31,697.10",Y,7507925403,HU1 1PA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,27/06/2017,Crown Court Graduated Fee Scheme,London South,Brown James Richard Charles ,1809125,"49,518.54",Y,6501930615,EC4Y 9DB,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,27/06/2017,Crown Court Graduated Fee Scheme,London South,Seelig Leo ,1809041,"33,600.18",Y,6501930602,EC4Y 9DB,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Crown Court Graduated Fee Scheme,North West Area,Clarke Nicholas Stephen ,1809618,"36,027.28",Y,2512931995,M3 4DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Crown Court Very High Cost Cases,Specialist Fraud Division,Myers Benjamin ,1809482,"35,409.40",Y,7503932646,L2 9XX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Crown Court Very High Cost Cases,Special Crime Division,Patterson Gareth ,1809190,"32,502.00",Y,7104933397,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Crown Court Graduated Fee Scheme,West Midlands Area,Nashashibi A ,1809575,"33,061.86",Y,3215928521,WC1R 4BX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Computer Services,Corporate,Level 3 Communications UK Limited,5056250,"5,058.00",,NC01906318,RG24 8NA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Contractor/Service (Contract Management) - Global Crossing,Corporate,Level 3 Communications UK Limited,5056250,"167,238.65",,NC01906318,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,IT Professional Services Implementation - Hardware (Capital Costs),Corporate,Level 3 Communications UK Limited,5056250,"204,690.09",,NC01906318,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Logica contract,Corporate,CGI IT UK Ltd,5056260,"131,216.80",,CCR10403 CMS Modernisation April 2017,RG2 6UA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Logica contract,Corporate,CGI IT UK Ltd,5056260,"232,660.60",,CCR10403 CMS Modernisation May 2017,RG2 6UA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,28/06/2017,Logica contract,Corporate,CGI IT UK Ltd,402478325,"35,071.16",,Service Catologue Charges for March 2017,RG2 6UA,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Crown Court Graduated Fee Scheme,South East Area,Haughey Caroline ,1809869,"46,759.50",Y,4714931209,EC4A 1JQ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,Cymru/Wales Area,Clarity Travel Management,1809906,284.50,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,London North,Clarity Travel Management,1809906,467.70,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,London South,Clarity Travel Management,1809906,654.15,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,North East Area,Clarity Travel Management,1809906,179.36,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,Wessex Area,Clarity Travel Management,1809906,"1,002.00",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Foreign Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1809906,25.53,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Cymru/Wales Area,Clarity Travel Management,1809906,533.79,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,East Midlands Area,Clarity Travel Management,1809906,"3,105.24",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,East of England Area,Clarity Travel Management,1809906,423.78,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,International Justice & Organised Crime Division,Clarity Travel Management,1809906,116.00,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,London North,Clarity Travel Management,1809906,"1,339.97",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,London South,Clarity Travel Management,1809906,"6,110.47",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Merseyside and Cheshire Area,Clarity Travel Management,1809906,982.80,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,North East Area,Clarity Travel Management,1809906,616.93,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,North West Area,Clarity Travel Management,1809906,993.35,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,South East Area,Clarity Travel Management,1809906,"2,783.06",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,South West Area,Clarity Travel Management,1809906,"1,736.70",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Specialist Fraud Division,Clarity Travel Management,1809906,-307.39,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Thames and Chiltern Area,Clarity Travel Management,1809906,112.72,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Wessex Area,Clarity Travel Management,1809906,"3,465.40",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,West Midlands Area,Clarity Travel Management,1809906,"1,457.15",,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Ordinary Witness Expenses,Yorkshire and Humberside Area,Clarity Travel Management,1809906,419.78,,WITNESS 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Communications Division,Clarity Travel Management,5056277,83.10,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Corporate,Clarity Travel Management,5056277,52.93,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Deparmental Security and Information Assurance,Clarity Travel Management,5056277,97.14,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Digital Technology Services,Clarity Travel Management,5056277,"1,513.77",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Digital Technology Services,Clarity Travel Management,5056277,634.28,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Finance Directorate,Clarity Travel Management,5056277,573.78,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Human Resource Directorate,Clarity Travel Management,5056277,"2,152.05",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Operations Directorate,Clarity Travel Management,5056277,"2,802.57",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Night Subsistence,Operations Directorate,Clarity Travel Management,5056277,"2,915.00",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Permanent Transfer Travel & Subsistence,Human Resource Directorate,Clarity Travel Management,5056277,815.50,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Communications Division,Clarity Travel Management,5056277,208.40,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Digital Technology Services,Clarity Travel Management,5056277,"2,335.90",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Digital Technology Services,Clarity Travel Management,5056277,770.70,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Director/Chief Executive,Clarity Travel Management,5056277,498.30,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Estates & Commercial,Clarity Travel Management,5056277,193.50,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Finance Directorate,Clarity Travel Management,5056277,"1,201.00",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Human Resource Directorate,Clarity Travel Management,5056277,"4,286.20",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Human Resource Directorate,Clarity Travel Management,5056277,177.50,,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Operations Directorate,Clarity Travel Management,5056277,"4,804.15",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Travel (other than Business Rate Mileage),Operations Directorate,Clarity Travel Management,5056277,"2,880.45",,Staff Travel Expenses 190617-250617,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"6,508.48",,NC01933240,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"6,508.48",,NC01933273,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"23,802.86",,NC01933158,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"16,248.89",,NC01933240,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"23,477.90",,NC01933258,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5056286,"16,248.89",,NC01933273,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5056286,"11,120.08",,NC01933240,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5056286,"11,120.08",,NC01933273,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5056286,"33,360.23",,NC01933240,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5056286,"33,360.23",,NC01933273,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,New Works,Corporate,Europa Facilities Management Ltd Manchester,5056286,"34,672.20",,NC01922328,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"16,420.21",,NC01933240,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"16,420.21",,NC01933273,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"63,960.64",,NC01933158,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"36,770.45",,NC01933240,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"63,920.88",,NC01933258,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5056286,"36,770.45",,NC01933273,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Water And Sewerage,Corporate,Europa Facilities Management Ltd Manchester,5056286,161.10,,NC01933158,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Water And Sewerage,Corporate,Europa Facilities Management Ltd Manchester,5056286,161.10,,NC01933258,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Internal Training,Human Resource Directorate,Hay Group Management Limited,5056265,"82,080.00",,NC01932979,SW1X 7HG,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Internal Training,Human Resource Directorate,Hay Group Management Limited,5056265,"54,720.00",,NC01932993,SW1X 7HG,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,29/06/2017,Computer Services,Corporate,CGI IT UK Ltd,5056287,"53,027.27",,NC01905758,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/06/2017,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Capstick Timothy ,1810563,"25,308.12",Y,2801931664,LS1 2LW,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/06/2017,Contractor/Service (Contract Management) - Global Crossing,Corporate,Level 3 Communications UK Limited,5056315,"35,843.90",,current charges,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,30/06/2017,Logica contract,Corporate,CGI IT UK Ltd,5056307,"71,308.80",,CCR0010247,RG2 6UA,Not available,Not available,Not available,Programme
